# ----------------------------------------
# kkr.com
# Channels
# 20180201-20180228
# ----------------------------------------

Default Channel Grouping,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Global Perspectives Reading 15min (Goal 1 Conversion Rate),Global Perspectives Reading 15min (Goal 1 Completions),Global Perspectives Reading 15min (Goal 1 Value)
(Other),20180201,17,2,19,68.42%,1.79,00:02:58,10.53%,2,$0.00
Direct,20180201,758,630,821,63.58%,2.28,00:01:46,3.41%,28,$0.00
Email,20180201,3,1,5,80.00%,2.60,00:00:33,0.00%,0,$0.00
Organic Search,20180201,"3,729","2,730","4,096",50.10%,2.74,00:02:03,3.66%,150,$0.00
Referral,20180201,371,174,418,54.78%,2.74,00:02:20,5.02%,21,$0.00
Social,20180201,36,25,40,70.00%,2.40,00:02:22,7.50%,3,$0.00
(Other),20180202,66,11,71,74.65%,2.86,00:03:01,5.63%,4,$0.00
Direct,20180202,702,583,756,63.36%,2.31,00:01:35,2.91%,22,$0.00
Email,20180202,2,1,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Organic Search,20180202,"2,967","2,131","3,233",51.62%,2.77,00:02:08,4.08%,132,$0.00
Referral,20180202,265,117,309,53.07%,2.98,00:02:49,6.47%,20,$0.00
Social,20180202,30,26,30,93.33%,1.13,00:00:08,0.00%,0,$0.00
(Other),20180203,8,4,8,100.00%,1.00,00:00:00,0.00%,0,$0.00
Direct,20180203,350,281,372,68.82%,1.92,00:01:14,2.15%,8,$0.00
Email,20180203,1,0,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Organic Search,20180203,"1,321","1,046","1,425",53.26%,2.88,00:02:00,3.23%,46,$0.00
Referral,20180203,109,45,128,55.47%,2.60,00:02:07,4.69%,6,$0.00
Social,20180203,42,37,45,80.00%,1.29,00:00:47,2.22%,1,$0.00
(Other),20180204,14,7,14,85.71%,1.14,00:00:13,0.00%,0,$0.00
